brand,model,model_year,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,milage
FORD,Utility_Police_Interceptor_Base,2013,E85 Flex Fuel,300.0HP_3.7L_V6_Cylinder_Engine_Flex_Fuel_Capability,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,9270,82076.3
HYUNDAI,Palisade_SEL,2021,Gasoline,3.8L_V6_24V_GDI_DOHC,8-Speed Automatic,Moonlight Cloud,Gray,At least 1 accident or damage reported,Yes,34204.5,55911.7
LEXUS,RX_350_RX_350,2022,Gasoline,3.5_Liter_DOHC,Automatic,Blue,Black,None reported,,49138.2,36004.2
INFINITI,Q50_Hybrid_Sport,2015,Hybrid,354.0HP_3.5L_V6_Cylinder_Engine_Gas/Electric_Hybrid,7-Speed A/T,Black,Black,None reported,Yes,13950,143070.3
AUDI,Q3_45_S_line_Premium_Plus,2021,Gasoline,2.0L_I4_16V_GDI_DOHC_Turbo,8-Speed Automatic,Glacier White Metallic,Black,None reported,,31499.1,15827.9
ACURA,ILX_2.4L,2016,Gasoline,2.4_Liter,F,Silver,Ebony.,None reported,,13318.2,219509.1
AUDI,S3_2.0T_Premium_Plus,2017,Gasoline,292.0HP_2.0L_4_Cylinder_Engine_Gasoline_Fuel,6-Speed A/T,Blue,Black,None reported,Yes,27900,135184.6
BMW,740_iL,2001,Gasoline,282.0HP_4.4L_8_Cylinder_Engine_Gasoline_Fuel,A/T,Green,Green,None reported,Yes,6570,389460.3
LEXUS,RC_350_F_Sport,2021,Gasoline,311.0HP_3.5L_V6_Cylinder_Engine_Gasoline_Fuel,6-Speed A/T,Black,Black,None reported,Yes,37734.3,37716.5
TESLA,Model_X_Long_Range_Plus,2020,,534.0HP_Electric_Motor_Electric_Fuel_System,A/T,Black,Black,None reported,Yes,62955,54717.6
LAND,Rover_Range_Rover_Sport_3.0_Supercharged_HST,2021,Gasoline,V6,Automatic,Fuji White,Pimento / Ebony,None reported,,66507.3,44430.7
ASTON,Martin_DBS_Superleggera,2019,Gasoline,715.0HP_5.2L_12_Cylinder_Engine_Gasoline_Fuel,8-Speed A/T,Silver,Black,None reported,Yes,166145.4,36644.7
TOYOTA,Supra_3.0_Premium,2021,Gasoline,382.0HP_3.0L_Straight_6_Cylinder_Engine_Gasoline_Fuel,A/T,Yellow,Black,None reported,Yes,48150,20116.8
LINCOLN,Aviator_Reserve_AWD,2022,Gasoline,400.0HP_3.0L_V6_Cylinder_Engine_Gasoline_Fuel,Transmission w/Dual Shift Mode,Black,Brown,None reported,Yes,55800,29283.6
JAGUAR,F-TYPE,2020,Gasoline,2.0_Liter_Supercharged,Automatic,Silver,Black,None reported,,43198.2,25593.3
LAND,Rover_LR4_HSE,2013,Gasoline,375.0HP_5.0L_8_Cylinder_Engine_Gasoline_Fuel,A/T,White,Black,None reported,Yes,26991,128425.3
MERCEDES-BENZ,Metris_Base,2021,Gasoline,2.0L_I4_16V_GDI_DOHC_Turbo,9-Speed Automatic,Gray,White,None reported,Yes,225000,2711.7
DODGE,Challenger_SXT,2013,Gasoline,305.0HP_3.6L_V6_Cylinder_Engine_Gasoline_Fuel,A/T,Black,Gray,None reported,Yes,15120,98288.8
NISSAN,350Z_Enthusiast,2003,Gasoline,287.0HP_3.5L_V6_Cylinder_Engine_Gasoline_Fuel,6-Speed M/T,Purple,–,None reported,Yes,9900,119091.2
JAGUAR,F-TYPE_R,2018,Gasoline,550.0HP_5.0L_8_Cylinder_Engine_Gasoline_Fuel,8-Speed A/T,Green,Black,None reported,Yes,61875,56729.2
GENESIS,GV70_3.5T_Sport,2023,Gasoline,375.0HP_3.5L_V6_Cylinder_Engine_Gasoline_Fuel,8-Speed A/T,Green,Beige,,,54000,8690.4
CHEVROLET,S-10_LS,2000,E85 Flex Fuel,120.0HP_2.2L_4_Cylinder_Engine_Flex_Fuel_Capability,A/T,Blue,Black,None reported,Yes,4050,214863
BMW,440_Gran_Coupe_440i_xDrive,2020,Gasoline,3.0_Liter_Turbo,Automatic,White,Beige,None reported,,34738.2,41826.7
FORD,F-150_XLT,2023,Gasoline,3.5L_V6_24V_PDI_DOHC_Twin_Turbo,Automatic,Iconic Silver Metallic,Black,None reported,Yes,52653.6,4543.2
CHEVROLET,Suburban_RST,2021,Gasoline,355.0HP_5.3L_8_Cylinder_Engine_Gasoline_Fuel,10-Speed A/T,Blue,Black,None reported,Yes,54900,83685.7
HYUNDAI,Elantra_N_Base,2022,Gasoline,276.0HP_2.0L_4_Cylinder_Engine_Gasoline_Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,29070,18748.8
NISSAN,Sentra_SR,2016,Gasoline,1.8_Liter,Automatic,Blue,Black,None reported,,12598.2,155367.3
MERCEDES-BENZ,AMG_CLA_45_Base_4MATIC,2021,Gasoline,382.0HP_2.0L_4_Cylinder_Engine_Gasoline_Fuel,A/T,Gray,Black,None reported,Yes,53995.5,28163.5
BMW,650_Gran_Coupe_i_xDrive,2015,Gasoline,445.0HP_4.4L_8_Cylinder_Engine_Gasoline_Fuel,8-Speed A/T,Gray,Black,None reported,Yes,23130,111044.5
AUDI,Q5_2.0T_Premium_Plus,2017,E85 Flex Fuel,2.0L_I4_16V_GDI_DOHC_Turbo_Flexible_Fuel,8-Speed Automatic,Mythos Black Metallic,Black,None reported,Yes,19237.5,131772.8
MERCEDES-BENZ,AMG_C_43_Base_4MATIC,2018,Gasoline,362.0HP_3.0L_V6_Cylinder_Engine_Gasoline_Fuel,9-Speed A/T,Silver,Black,None reported,Yes,43200,46349
DODGE,Ram_1500_Laramie_Mega_Cab,2006,Gasoline,345.0HP_5.7L_8_Cylinder_Engine_Gasoline_Fuel,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,9810,483096.5
BMW,i3_120Ah_w/Range_Extender,2020,Hybrid,120_AH,Automatic,Black,Black,None reported,,22498.2,56383.2
KIA,Sorento_SX,2011,Gasoline,276.0HP_3.5L_V6_Cylinder_Engine_Gasoline_Fuel,A/T,Black,Black,None reported,Yes,5399.1,275197.1
LEXUS,LX_570_Base,2016,Gasoline,383.0HP_5.7L_8_Cylinder_Engine_Gasoline_Fuel,8-Speed A/T,Black,Beige,None reported,Yes,42210,191028.7
JEEP,New_Compass_Trailhawk,2017,Gasoline,180.0HP_2.4L_4_Cylinder_Engine_Gasoline_Fuel,A/T,Red,Black,None reported,Yes,14310,191511.5
BMW,340_i,2018,Gasoline,3.0_Liter_Turbo,Automatic,Gray,Black,None reported,,30238.2,71231
AUDI,A4_2.0T_Premium_Plus_quattro,2012,Gasoline,211.0HP_2.0L_4_Cylinder_Engine_Gasoline_Fuel,8-Speed A/T,Silver,Black,None reported,Yes,8099.1,202092.9
HYUNDAI,Tucson_SE,2007,Gasoline,173.0HP_2.7L_V6_Cylinder_Engine_Gasoline_Fuel,A/T,Gold,Beige,None reported,Yes,7380,26071.3
BMW,Z4_sDrive28i,2014,Gasoline,240.0HP_2.0L_4_Cylinder_Engine_Gasoline_Fuel,A/T,White,Beige,At least 1 accident or damage reported,Yes,18000,112653.8
BENTLEY,Continental_GTC_Base,2011,E85 Flex Fuel,552.0HP_6.0L_12_Cylinder_Engine_Flex_Fuel_Capability,6-Speed A/T,Black,Black,None reported,Yes,71955,32508.7
HONDA,Passport_Elite,2023,Gasoline,3.5_Liter_SOHC,Automatic,Lunar Silver Metallic,Gray,None reported,,40948.2,4792.6
DODGE,Sprinter_2500,2007,Diesel,3.0L_V6_Cylinder_Engine_Diesel_Fuel,5-Speed A/T,White,Gray,At least 1 accident or damage reported,Yes,12600,305322.4
BMW,M850_i_xDrive,2019,Gasoline,4.4_Liter_DOHC_Twin_Turbo,Automatic,Blue,Black,None reported,,68218.2,16011.3
LUCID,Air_Grand_Touring,2022,,536.0HP_Electric_Motor_Electric_Fuel_System,1-Speed A/T,Red,Beige,None reported,Yes,107999.1,5716.4
AUDI,A7_Premium,2012,Gasoline,310.0HP_3.0L_V6_Cylinder_Engine_Gasoline_Fuel,8-Speed A/T,Black,Brown,At least 1 accident or damage reported,Yes,33192,86904.4
CHEVROLET,Silverado_1500_Custom_Trail_Boss,2021,Gasoline,5.3L_V8_16V_GDI_OHV,Automatic,Black,Jet Black,None reported,Yes,38832.3,82641.2
MINI,Convertible_John_Cooper_Works,2017,Gasoline,228.0HP_2.0L_4_Cylinder_Engine_Gasoline_Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,26100,39074.8
TOYOTA,Avalon_Touring,2016,Gasoline,268.0HP_3.5L_V6_Cylinder_Engine_Gasoline_Fuel,A/T,Black,Black,None reported,Yes,15750,143469.4
PORSCHE,Cayenne_Platinum_Edition,2017,Gasoline,300.0HP_3.6L_V6_Cylinder_Engine_Gasoline_Fuel,8-Speed A/T,White,Black,None reported,Yes,27891,117551
MERCEDES-BENZ,AMG_C_63_S,2017,Gasoline,503.0HP_4.0L_8_Cylinder_Engine_Gasoline_Fuel,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,Yes,47250,96560.4
HONDA,CR-V_EX-L,2016,Gasoline,2.4L_I4_16V_GDI_DOHC,Automatic CVT,Mountain Air Metallic,Black,At least 1 accident or damage reported,,18763.2,118365.3
HUMMER,H2_Base,2005,Gasoline,325.0HP_6.0L_8_Cylinder_Engine_Gasoline_Fuel,A/T,Gray,Black,None reported,Yes,17550,178475.8
PORSCHE,911_Carrera_S,2013,Gasoline,400.0HP_3.8L_Flat_6_Cylinder_Engine_Gasoline_Fuel,7-Speed A/T,Blue,Black,None reported,Yes,65700,62764.3
MERCEDES-BENZ,CLA-Class_CLA_250,2016,Gasoline,208.0HP_2.0L_4_Cylinder_Engine_Gasoline_Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,17820,193120.8
